,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
93,Umaimon,Umaimon - Buroh Lane,"[""Convenience"", ""Japanese"", ""Local"", ""Mart""]",1.31478581973723,103.724441996245,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2M1TBVKPFJXCE/hero/64c8aeceab464b16b284d10b6cc2a70c_1617780649781126509.jpg,,"[1.31478581973723, 103.724441996245]",3,3
94,Hen Tick Foods,Hen Tick Foods - Chin Bee Road,"[""Convenience"", ""Seafood"", ""Mart"", ""Frozen Food"", ""Fresh Produce""]",1.332287719624227,103.711578242609,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JZGJVGN2EKRX/hero/577dfa3fb9ef4578a6c32411eb1a54c2_1611668928431260067.jpeg,5.0,"[1.332287719624227, 103.711578242609]",3,3
95,Old Chang Kee,Old Chang Kee - Spc Service Station (Jalan Buroh),"[""Halal"", ""Snack"", ""Local"", ""Finger Food"", ""Asian""]",1.3147028,103.7148715,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYN2GYVECX4TJE/hero/51b30f6675d74ae8aeae38628aa9a0d0_1561689933224433551.jpeg,4.5,"[1.3147028, 103.7148715]",3,3
96,Chu Yi Shi Wu,Chu Yi Shi Wu - Jurong Port Road,"[""Groceries"", ""Mart""]",1.318229236,103.7205115,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EWFGCXE7DBT2/hero/be2b54bba4c6449ab832683ddbe6cce3_1615547857561364644.png,,"[1.318229236, 103.7205115]",3,3
97,Co+Nut+Ink,Co+Nut+Ink - International Road,"[""Mart"", ""Dessert"", ""Beverages"", ""Snacks""]",1.3295160895143274,103.7112684358279,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDTAXMVJYUTAJ/hero/aa6a7d4703f24d8d83dcf79e0a099030_1593075704310235935.jpeg,4.4,"[1.3295160895143274, 103.7112684358279]",3,3
98,The Meat Club,The Meat Club - Chin Bee Ave (Next Day Delivery),"[""Islandwide Delivery"", ""Mart"", ""Groceries"", ""Local"", ""Chicken""]",1.334043,103.7142267,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKT33XKBMVDE/hero/a215d27a7b534d3186d5d102965a7b20_1592989420493786155.jpeg,5.0,"[1.334043, 103.7142267]",3,3
99,Mogushop,MoguShop - Commonwealth Capital Building,"[""Japanese"", ""Mart"", ""Snacks"", ""Groceries"", ""Alcohol""]",1.3152482,103.7233928,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMGBEJBGX3GG6/hero/cb66e831c4a64c69bfddfea5f2a95e72_1596609734926687682.jpeg,5.0,"[1.3152482, 103.7233928]",3,3
100,Yew Luck Luck,Yew luck luck - Yung Kuang Road [Islandwide Delivery],"[""Fruits & Vegetables"", ""Alcohol"", ""Convenience Store/Minimart"", ""Groceries"", ""Beverages""]",1.3311045111912363,103.72148287820676,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDBSBAVEVKKNJ/hero/e872a5f5f25e4cfda0bca611a9f14d39_1611567603814651038.jpg,4.7,"[1.3311045111912363, 103.72148287820676]",3,3
101,Pantry Selects,Pantry Selects - Chin Bee Ave ,"[""Alcohol"", ""Convenience"", ""Mart"", ""Frozen Food"", ""Islandwide Delivery""]",1.334043,103.7142267,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KECN4BGX6GNA/hero/521bacdcdc4e4f6d85227c67281e1481_1612414077645024309.jpeg,,"[1.334043, 103.7142267]",3,3
102,Sheng Siong (JS),Sheng Siong (JS) - Yuan Ching Road,"[""Convenience"", ""Groceries""]",1.32574815,103.7250803,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KEERCGEENWTX/hero/b116470e77064a628d1c242162996134_1612423846336594070.jpg,,"[1.32574815, 103.7250803]",3,3
