name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j
SF Fruits & Juices,SF Fruits & Juices - Northpoint City #B1-15,"['Fruit', 'Groceries', 'Mart']",1.4295412,103.83576075,"{'displayedHours': 'Closed', 'sun': '10:00-21:00', 'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD2APKWTJ43WE/hero/4d9395be940947908f848dc092355f7e_1619433586023636587.png,4.7,"[1.4295412, 103.83576075]",7,7
Claypot Delight,Claypot Delight - Khatib Central,"['Asian', 'Chinese', 'Soup']",1.4162734,103.83519689166668,"{'displayedHours': 'Closed', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJEVAMFC6MGRJ/hero/d999c18c327e451ea0301d93ec587205_1590490168554061747.jpg,4.0,"[1.4162734, 103.83519689166668]",7,7
The Body Shop,The Body Shop - Northpoint City #01-09,"['Wellness', 'Health & Wellness', 'Mart', 'Health & Beauty']",1.4296219,103.8357185,"{'displayedHours': 'Closed', 'sun': '11:00-20:00', 'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJWJ22XCLBFME/hero/4ed6b775d08c4096b2604e5368611fe8_1598261363193633820.jpeg,5.0,"[1.4296219, 103.8357185]",7,7
Shami Banana Leaf,Shami Banana Leaf - Sembawang Park,"['Indian', 'Asian', 'Local']",1.4258649460773114,103.82575168112449,"{'displayedHours': 'Closed', 'sun': '11:30-21:30', 'mon': '11:30-21:30', 'tue': '11:30-21:30', 'wed': '11:30-21:30', 'thu': '11:30-21:30', 'fri': '11:30-21:30', 'sat': '11:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDDG3XWJNDDRJ/hero/2830c81539ef4a859226c4d49f1e691e_1586336696638593529.jpg,4.3,"[1.4258649460773114, 103.82575168112449]",7,7
Happiness Seafood By Uncle Leong Signatures,Happiness Seafood By Uncle Leong Signatures - Khatib Central,"['Asian', 'Chinese', 'Local', 'Seafood', 'Singaporean']",1.4166031004955926,103.83540693779014,"{'displayedHours': 'Closed', 'sun': '11:00-22:30', 'mon': '11:00-22:30', 'tue': '11:00-22:30', 'wed': '11:00-22:30', 'thu': '11:00-22:30', 'fri': '11:00-22:30', 'sat': '11:00-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KZJB41JRAEG2/hero/c8a986fdb4864752898b1972adda20ae_1613640757614479637.jpg,4.3,"[1.4166031004955926, 103.83540693779014]",7,7
Komala's Restaurants,Komala's Restaurants - Yishun 10 Cinema Complex,"['Breakfast & Brunch', 'Indian', 'Vegetarian Friendly', 'Tea']",1.4301661,103.83654126767802,"{'displayedHours': 'Closed', 'sun': '09:00-21:00', 'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZL2GJX2CPUFET/hero/1db5dd322eaa44e6ab3faca3111471f3_1595900157698002672.jpeg,4.3,"[1.4301661, 103.83654126767802]",7,7
You Ma You La,You Ma You La - Yishun St 22,"['Chinese', 'Asian', 'Seafood']",1.4359833,103.83763755714286,"{'displayedHours': 'Closed', 'sun': '10:30-21:30', 'mon': '10:30-21:30', 'tue': '10:30-21:30', 'wed': '10:30-21:30', 'thu': '10:30-21:30', 'fri': '10:30-21:30', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05422/hero/You_Ma_You_La_Hero_16x9.jpg,4.3,"[1.4359833, 103.83763755714286]",7,7
Makan Sedap Florence Chicken Rice,Makan Sedap Florence Chicken Rice - Northpoint Shopping Centre,"['Local', 'Halal', 'Asian']",1.4298012105716964,103.8356870386661,"{'displayedHours': 'Closed', 'sun': '09:00-21:00', 'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDJKBDCCX4TLA/hero/e498e6482a474bf193f90172b4c2d43c_1611903158109462275.jpeg,4.4,"[1.4298012105716964, 103.8356870386661]",7,7
Krispy Kreme,Krispy Kreme - Northpoint City,"['Dessert', 'Snack', 'Halal']",1.4289484914272768,103.83631940909092,"{'displayedHours': 'Closed', 'sun': '10:30-21:15', 'mon': '10:30-21:20', 'tue': '10:30-22:10', 'wed': '10:30-22:10', 'thu': '10:30-22:25', 'fri': '10:30-21:45', 'sat': '10:30-21:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08316/hero/krispy-kreme-logo.jpg,4.7,"[1.4289484914272768, 103.83631940909092]",7,7
Seoul Chicken,Seoul Chicken - Sembawang Road,"['Beverages', 'Chicken', 'Asian', 'Korean', 'Alcohol']",1.4282313,103.8266468,"{'displayedHours': 'Closed', 'sun': '11:30-22:00', 'mon': '16:00-22:00', 'tue': '11:30-22:00', 'wed': '16:00-22:00', 'thu': '11:30-22:00', 'fri': '11:30-22:00', 'sat': '11:30-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10263/hero/7964525733c3424db6d2a7eb404abaaf_1591354210492973279.jpeg,4.2,"[1.4282313, 103.8266468]",7,7
